,url,name,year,en_name,poster_url,rating,country,genre,director,main_actors,lentgh
606,https://www.kinonews.ru/movie_93082/carnage,Резня,2011,Carnage,https://www.kinonews.ru/movie_93082/carnage,8.13,"['Германия', 'Франция', 'Испания', 'Польша']","['драма', 'комедия']",Роман Полански,"['Кейт Уинслет', 'Джоди Фостер']",80 мин
607,https://www.kinonews.ru/movie_3131/ps-i-love-you,P.S. Я люблю тебя,2007,P.S. I Love You,https://www.kinonews.ru/movie_3131/ps-i-love-you,8.13,['США'],"['драма', 'комедия', 'мелодрама']",Ричард ЛаГравенес,"['Хилари Суонк', 'Джерард Батлер']",126 мин
608,https://www.kinonews.ru/movie_12032/big-trouble-in-little-china,Большой переполох в маленьком Китае,1986,Big Trouble in Little China,https://www.kinonews.ru/movie_12032/big-trouble-in-little-china,8.13,['США'],"['боевик', 'комедия', 'мелодрама', 'приключения', 'фэнтези']",Джон Карпентер,"['Курт Рассел', 'Ким Кэтролл']",
609,https://www.kinonews.ru/movie_241783/granite-mountain,Дело храбрых,2017,Only the Brave,https://www.kinonews.ru/movie_241783/granite-mountain,8.13,['США'],"['биографический', 'драма']",Джозеф Косински,"['Дженнифер Коннелли', 'Майлз Теллер']",133 мин
610,https://www.kinonews.ru/movie_2675/the-witches-of-eastwick,Иствикские ведьмы,1987,The Witches of Eastwick,https://www.kinonews.ru/movie_2675/the-witches-of-eastwick,8.13,['США'],"['комедия', 'музыка', 'триллер', 'ужасы', 'фэнтези']",Джордж Миллер,"['Джек Николсон', 'Мишель Пфайффер']",118 мин
611,https://www.kinonews.ru/movie_85779/silver-linings-playbook,Мой парень - псих,2012,Silver Linings Playbook,https://www.kinonews.ru/movie_85779/silver-linings-playbook,8.12,['США'],"['драма', 'комедия']",Дэвид О. Расселл,"['Брэдли Купер', 'Дженнифер Лоуренс']",122 мин
612,https://www.kinonews.ru/movie_4178/kill-bill-vol-1,Убить Билла,2003,Kill Bill: Vol. 1,https://www.kinonews.ru/movie_4178/kill-bill-vol-1,8.12,['США'],"['боевик', 'драма', 'криминал', 'триллер']",Квентин Тарантино,"['Ума Турман', 'Люси Лью']",111 мин
613,https://www.kinonews.ru/movie_12164/le-fabuleux-destin-dami#233;lie-poulain,Амели,2001,Amelie,https://www.kinonews.ru/movie_12164/le-fabuleux-destin-dami#233;lie-poulain,8.12,"['Франция', 'Германия']","['драма', 'комедия', 'мелодрама']",Жан-Пьер Жене,"['Одри Тоту', 'Матье Кассовиц']",122 мин
614,https://www.kinonews.ru/movie_40871/mortal-kombat,Смертельная битва,1995,Mortal Kombat,https://www.kinonews.ru/movie_40871/mortal-kombat,8.12,['США'],"['боевик', 'приключения', 'триллер', 'фантастика', 'фэнтези']",Пол В.С. Андерсон,"['Кристофер Ламберт', 'Робин Шоу']",101 мин
615,https://www.kinonews.ru/movie_4612/the-devil-wears-prada,"Дьявол носит ""Prada""",2006,The Devil Wears Prada,https://www.kinonews.ru/movie_4612/the-devil-wears-prada,8.12,['США'],"['драма', 'комедия']",Дэвид Фрэнкел,"['Мэрил Стрип', 'Энн Хэтэуэй']",109 мин
616,https://www.kinonews.ru/movie_4185/gattaca,Гаттака,1997,Gattaca,https://www.kinonews.ru/movie_4185/gattaca,8.12,['США'],"['драма', 'мелодрама', 'триллер', 'фантастика']",Эндрю Никкол,"['Этан Хоук', 'Ума Турман']",106 мин
617,https://www.kinonews.ru/movie_103373/the-perks-of-being-a-wallflower,Хорошо быть тихоней,2012,The Perks of Being a Wallflower,https://www.kinonews.ru/movie_103373/the-perks-of-being-a-wallflower,8.12,['США'],"['драма', 'мелодрама']",Стивен Чбоски,"['Логан Лерман', 'Дилан МакДермотт']",103 мин
618,https://www.kinonews.ru/movie_2256/sweet-november,Сладкий ноябрь,2001,Sweet November,https://www.kinonews.ru/movie_2256/sweet-november,8.12,['США'],"['драма', 'комедия', 'мелодрама']",Пэт О`Коннор,"['Киану Ривз', 'Шарлиз Терон']",119 мин
619,https://www.kinonews.ru/movie_7948/the-reader,Чтец,2008,The Reader,https://www.kinonews.ru/movie_7948/the-reader,8.12,"['США', 'Германия']","['военный', 'драма', 'исторический', 'мелодрама', 'триллер']",Стивен Долдри,"['Рэйф Файнс', 'Жанетт Хайн']",124 мин
620,https://www.kinonews.ru/movie_769/ali,Али,2001,Ali,https://www.kinonews.ru/movie_769/ali,8.12,['США'],"['биографический', 'драма', 'спорт']",Майкл Манн,"['Уилл Смит', 'Джейми Фокс']",157 мин
