,url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh
3776,https://www.kinonews.ru/movie_39047/the-philadelphia-experiment,Филадельфийский эксперимент,1984,The Philadelphia Experiment,https://www.kinonews.ru/movie_39047/the-philadelphia-experiment,7.91,$8 103 330,0,['США'],"['драма', 'мелодрама', 'приключения', 'фантастика', 'фэнтези']",Стюарт Рэффил,"['Стивен Тоболовски', 'Майкл Паре']",
3777,https://www.kinonews.ru/movie_36470/the-collector,Коллекционер,2009,The Collector,https://www.kinonews.ru/movie_36470/the-collector,7.41,$8 102 343,0,['США'],"['криминал', 'триллер', 'ужасы']",Маркус Данстэн,"['Мадлен Зима', 'Андреа Рот']",
3778,https://www.kinonews.ru/movie_592/the-adventures-of-baron-munchausen,Приключения барона Мюнхаузена,1988,The Adventures of Baron Munchausen,https://www.kinonews.ru/movie_592/the-adventures-of-baron-munchausen,8.0,$8 083 123,$46 630 000,"['Великобритания', 'Германия']","['боевик', 'драма', 'комедия', 'приключения', 'фэнтези']",Терри Гиллиам,"['Робин Уильямс', 'Джонатан Прайс']",
3779,https://www.kinonews.ru/movie_31161/spartan,Спартанец,2004,Spartan,https://www.kinonews.ru/movie_31161/spartan,6.0,$8 048 470,$19 250 000,"['США', 'Германия']","['боевик', 'детектив', 'драма', 'криминал', 'триллер']",Дэвид Мэмет,"['Вэл Килмер', 'Уильям Х. Мэйси']",
3780,https://www.kinonews.ru/movie_102940/casa-de-mi-padre,В доме отца,2012,Casa de mi Padre,https://www.kinonews.ru/movie_102940/casa-de-mi-padre,4.2,$8 041 667,$6 000 000,['США'],['комедия'],Мэтт Пидмонт,"['Уилл Феррелл', 'Ник Офферман']",81 мин
3781,https://www.kinonews.ru/movie_2557/the-ice-storm,Ледяной ветер,1997,The Ice Storm,https://www.kinonews.ru/movie_2557/the-ice-storm,8.67,$8 038 061,$18 000 000,['США'],['драма'],Энг Ли,"['Элайджа Вуд', 'Тоби Магуайр']",
3782,https://www.kinonews.ru/movie_50288/the-texas-chainsaw-massacre-2,Техасская резня бензопилой 2,1986,The Texas Chainsaw Massacre 2,https://www.kinonews.ru/movie_50288/the-texas-chainsaw-massacre-2,6.11,$8 025 872,$4 700 000,['США'],"['комедия', 'ужасы']",Тоуб Хупер,"['Деннис Хоппер', 'Кэролин Уильямс']",101 мин
3783,https://www.kinonews.ru/movie_5131/beyond-the-sea,У моря,2004,Beyond the Sea,https://www.kinonews.ru/movie_5131/beyond-the-sea,9.0,$8 010 814,$24 000 000,"['Германия', 'США', 'Великобритания']","['биографический', 'драма', 'музыка', 'мюзикл']",Кевин Спейси,"['Кевин Спейси', 'Бренда Блетин']",
3784,https://www.kinonews.ru/movie_21448/control,Контроль,2007,Control,https://www.kinonews.ru/movie_21448/control,8.0,$8 009 646,$6 000 000,"['Великобритания', 'США', 'Австралия', 'Япония']","['биографический', 'драма', 'музыка']",Антон Корбейн,"['Тоби Кеббелл', 'Саманта Мортон']",
3785,https://www.kinonews.ru/movie_75561/annie-get-your-gun,Энни получает ваше оружие,1950,Annie Get Your Gun,https://www.kinonews.ru/movie_75561/annie-get-your-gun,0.0,$8 000 000,$3 768 785,['США'],"['биографический', 'вестерн', 'комедия', 'мелодрама', 'мюзикл']","Джордж Сидни, Басби Беркли, Чарльз Уолтерс","['Луи Кэлхерн', 'Дж. Кэролл Нейш']",
3786,https://www.kinonews.ru/movie_26204/american-splendor,Американское великолепие,2003,American Splendor,https://www.kinonews.ru/movie_26204/american-splendor,8.25,$7 986 084,0,['США'],"['биографический', 'драма', 'комедия']","Шари Спрингер Берман, Роберт Пульчини","['Пол Джаматти', 'Джош Хатчерсон']",
3787,https://www.kinonews.ru/movie_7959/strange-days,Странные дни,1995,Strange Days,https://www.kinonews.ru/movie_7959/strange-days,7.33,$7 959 291,$42 000 000,['США'],"['боевик', 'детектив', 'драма', 'криминал', 'музыка', 'триллер', 'фантастика', 'фэнтези']",Кэтрин Бигилоу,"['Рэйф Файнс', 'Анджела Бассетт']",145 мин
3788,https://www.kinonews.ru/movie_108979/suspiria,Суспирия,2018,Suspiria,https://www.kinonews.ru/movie_108979/suspiria,6.79,$7 942 093,$20 000 000,"['Италия', 'США']","['детектив', 'триллер', 'ужасы', 'фэнтези']",Лука Гуаданьино,"['Хлоя Грейс Морец', 'Дакота Джонсон']",152 мин
3789,https://www.kinonews.ru/movie_19133/funny-games-us,Забавные игры,2007,Funny Games U.S.,https://www.kinonews.ru/movie_19133/funny-games-us,6.67,$7 932 762,$15 000 000,"['США', 'Франция', 'Великобритания', 'Австрия', 'Германия', 'Италия']","['драма', 'криминал', 'триллер']",Михаэль Ханеке,"['Наоми Уоттс', 'Тим Рот']",
3790,https://www.kinonews.ru/movie_13206/unstrung-heroes,Сумасшедшие герои,1995,Unstrung Heroes,https://www.kinonews.ru/movie_13206/unstrung-heroes,0.0,$7 929 434,0,['США'],['драма'],Дайан Китон,"['Энди МакДауэлл', 'Джон Туртурро']",
3791,https://www.kinonews.ru/movie_2573/coffee-and-cigarettes,Кофе и сигареты,2003,Coffee and Cigarettes,https://www.kinonews.ru/movie_2573/coffee-and-cigarettes,8.0,$7 929 307,0,"['США', 'Япония', 'Италия']","['драма', 'комедия', 'музыка']",Джим Джармуш,"['Роберто Бениньи', 'Стивен Райт']",
3792,https://www.kinonews.ru/movie_21833/big-stan,Большой Стэн,2007,Big Stan,https://www.kinonews.ru/movie_21833/big-stan,7.02,$7 926 235,$10 000 000,['США'],['комедия'],Роб Шнайдер,"['Роб Шнайдер', 'Дэвид Кэррадайн']",
3793,https://www.kinonews.ru/movie_7048/sunshine,Вкус солнечного света,1999,Sunshine,https://www.kinonews.ru/movie_7048/sunshine,9.22,$7 918 035,0,"['Германия', 'Канада', 'Венгрия', 'Австрия']","['военный', 'драма', 'исторический', 'мелодрама']",Иштван Сабо,"['Рэйчел Уайз', 'Рэйф Файнс']",181 мин
3794,https://www.kinonews.ru/movie_4680/the-brinks-job,Ограбление Бринкса,1978,The Brink`s Job,https://www.kinonews.ru/movie_4680/the-brinks-job,0.0,$7 909 950,0,['США'],"['комедия', 'криминал']",Уильям Фридкин,"['Джина Роулэндс', 'Питер Фальк']",
3795,https://www.kinonews.ru/movie_26291/tsotsi,Цоци,2005,Tsotsi,,0.0,$7 907 730,$3 000 000,"['Великобритания', 'ЮАР']","['драма', 'криминал']",Гэвин Худ,"['Пресли Чвенайдаэ', 'Терри Пхето']",
