,url,description
22,https://www.kinonews.ru/movie_206682/aquaman,"С виду Артур Карри кажется обычным человеком, но он умеет дышать под водой, быстро плавает и наделён огромной силой, а всё потому, что его мать была королевой подводного царства, которой пришлось оставить сына в мире людей, когда он был ещё совсем маленьким ребёнком. Теперь Артур вырос и ему предстоит столкнуться со сводным братом Ормом, который стал новым королём и намеревается начать войну против всего человечества."
23,https://www.kinonews.ru/movie_796/the-lord-of-the-rings-the-return-of-the-king,"Близится последняя битва за Средиземье. На пути войск Саурона стоит лишь королевство Гондор, которым управляет выживший из ума наместник Денетор. Силы хранителя кольца иссякают по мере продвижения к Мордору. Еще чуть-чуть и мир будет повержен во тьму."
24,https://www.kinonews.ru/movie_251291/spider-man-homecoming-2,"Продолжение фильма ""Человек-паук: Возвращение домой"". Питер Паркер решает отправиться с друзьями на каникулы в Европу, но Нику Фьюри приходится прервать его отпуск, так как на горизонте появилась новая смертельная угроза, справиться с которой супергерою поможет неожиданный союзник."
25,https://www.kinonews.ru/movie_207318/captain-marvel,"После того как вполне обычная земная женщина сталкивается с расой инопланетных существ она, неожиданно для себя, получает уникальные и невероятные сверхъестественные способности."
26,https://www.kinonews.ru/movie_41762/transformers-3,"Не простой сюжет закручивается в продолжение знаменитой саги трансформеров ""Трансформеры 3: Темная сторона Луны"".  Сэм, оставшись без Микаэлы, должен помочь автоботам противостоять десептиконам, которых возглавляет злобный Шокуэйв. Но дело осложняет еще и местное правительство, которое выпускает приказ об изгнании автоботов с Земли. К тому же, выясняется, что и темная сторона Луна хранит какие-то темные тайны. И чтобы победить в этой непростой битве, Сэму и его друзьям автоботам надо их раскрыть..."
27,https://www.kinonews.ru/movie_47457/bond-23,"Джеймсу Бонду предстоит защищать свою организацию от неких событий из прошлого руководительницы MI6, агента ""М"". Агент 007 должен ликвидировать угрозу любой ценой, несмотря на личные привязанности."
28,https://www.kinonews.ru/movie_101988/transformers-4,"Механик и его дочь делают важное открытие, что делает их целью преследования как со стороны Автоботов и Десептиконов, так и со стороны параноидального правительственного агента."
29,https://www.kinonews.ru/movie_66169/the-dark-knight-rises,"Бэтмен, восемь лет назад взявший на себе ответственность за преступления окружного прокурора Харви, возвращается, чтобы сразиться с суперзлодеем Бэйном, планирующим уничтожить Готэм."
30,https://www.kinonews.ru/movie_208035/star-wars-episode-ix,"Последняя часть саги, посвященная Скайуокеру, в которой зрители должны получить ответы на все, так долго мучившее их, вопросы."
31,https://www.kinonews.ru/movie_267107/joker,"История о том, как Артур Флек, страдающий психическим расстройством и мечтающий работать стендап-комиком, становится Джокером - известным на весь Готэм Сити преступником."
32,https://www.kinonews.ru/movie_124576/toy-story-4,"Вуди, Баз и все старые игрушки отправляются в путешествие с новым хозяином - девочкой Бонни и новой игрушкой - Вилкинсом, которого смастерила девочка. И в дороге Вуди случайно встречает свою давно потерянную любовь - пастушку Бо Бип, о которой рассказывалось в первой части мультфильма ""История игрушек"" (1995). И после этой встречи главному герою придется серьезно пересмотреть свою жизнь и принципы."
33,https://www.kinonews.ru/movie_465/toy-story-3,"После того, как повзрослевший малыш Энди уезжает учиться в колледж, его старые друзья Базз, Вудди и другие игрушки попадают в детский сад, где начинаются их новые приключения."
34,https://www.kinonews.ru/movie_84/pirates-of-the-caribbean-dead-mans-chest,"Джек Воробей снова попадает в переплет: он узнает, что задолжал капитану «Летучего Голландца» Дэйви Джонсу. Джек должен как можно скорее вернуть долг, иначе его ждет проклятие и пожизненное рабство. Ко всему прочему, свадьба Элизабет Свонн и Уилла Тернера срывается, и пара присоединяется к Джеку, чтобы помочь ему решить проблемы."
