url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh,description
https://www.kinonews.ru/movie_1031/avatar,Аватар,2009,Avatar,https://www.kinonews.ru/movie_1031/avatar,9.01,$2 847 246 203,$237 000 000,['США'],"['боевик', 'драма', 'приключения', 'фантастика']",Джеймс Кэмерон,"['Сэм Уортингтон', 'Зои Солдана']",162 мин,"Бывший десантник Джейк Салли получает предложение отправиться на далекую планету Пандора, где добывается редкий минерал. Проблема в том, что Джейк не может ходить после тяжелого ранения. Но ее удается решить за счет так называемого Аватара - клона наделенного необходимыми для выживания на негостеприимной планете качествами, которым можно управлять посредством специального интерфейса. Прибыв на Пандору, Джейк все больше погружается в ее жизнь, и через некоторое время понимает, что чужая планета и формы жизни стали для него важнее дома. К тому же, случай свел его с прекрасной туземкой. Ему придется сделать выбор: отказаться от прежней жизни и принять участие в борьбе с людской экспансией, или вернуть назад и оставить свою любовь и возможность ходить."
https://www.kinonews.ru/movie_207321/avengers-3-part-ii,Мстители 4: Финал,2019,Avengers: Endgame,https://www.kinonews.ru/movie_207321/avengers-3-part-ii,8.16,$2 797 501 328,$356 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика', 'фэнтези']","Энтони Руссо, Джо Руссо","['Роберт Дауни мл.', 'Крис Эванс']",182 мин,"Танос завладел всеми Камнями бесконечности. Половина всех разумных существ в Галактике уничтожена им по щелчку пальцев, как и половина супергероев из команды Мстителей. Грядет финальная битва, но силы очень не равны. Оставшиеся члены команды Мстителей это понимают, и поэтому готовят тщательно продуманный план сражения..."
https://www.kinonews.ru/movie_1025/titanic,Титаник,1997,Titanic,https://www.kinonews.ru/movie_1025/titanic,9.14,$2 201 647 264,$200 000 000,['США'],"['драма', 'исторический', 'мелодрама']",Джеймс Кэмерон,"['Леонардо ДиКаприо', 'Кейт Уинслет']",194 мин,"Бедный художник Джек, случайно попав на борт ""Титаника"", влюбляется в богатую аристократку Роуз. Она отвечает ему взаимностью. Но вдруг роскошный лайнер сталкивается с айсбергом.Почти весь реквизит для фильма - от ковров до канделябров - делался либо самими компаниями, которые обустраивали реальный ""Титаник"", либо под их чутким руководством."
https://www.kinonews.ru/movie_134104/star-wars-episode-vii,Звездные войны: Эпизод 7 - Пробуждение Силы,2015,Star Wars: Episode VII - The Force Awakens,https://www.kinonews.ru/movie_134104/star-wars-episode-vii,7.53,$2 069 521 700,$245 000 000,['США'],"['драма', 'приключения', 'фантастика', 'фэнтези']",Джей Джей Абрамс,"['Донал Глисон', 'Дэйзи Ридли']",136 мин,"Седьмая часть культовой фантастической саги Джорджа Лукаса. Действие картины разворачивается спустя 30 лет после событий, описанных в «Звездные войны: Эпизод 6 - Возвращение Джедая» (1983).Генерал Лея отправляет своего лучшего пилота на поиски пропавшего Люка Скайуокера. Ключ к тайне исчезновения ее брата находится на удаленной планете. Но джедая ищет не только Лея, но и зловещий Первый Орден, созданный на развалинах Империи."
https://www.kinonews.ru/movie_207320/avengers-3-part-i,Мстители 3: Война бесконечности,2018,Avengers: Infinity War,https://www.kinonews.ru/movie_207320/avengers-3-part-i,8.9,$2 048 359 754,$300 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика']","Энтони Руссо, Джо Руссо","['Роберт Дауни мл.', 'Крис Хемсворт']",149 мин,"Мстители и Стражи Галактики объединяются, чтобы противостоять Таносу, стремящемуся завладеть оставшимися Камнями Бесконечности и получить безграничную власть над Галактикой."
https://www.kinonews.ru/movie_103395/jurassic-park-iv,Мир Юрского периода,2015,Jurassic World,https://www.kinonews.ru/movie_103395/jurassic-park-iv,7.48,$1 670 516 444,$150 000 000,['США'],"['приключения', 'семейный', 'фантастика']",Колин Треворроу,"['Крис Прэтт', 'Брайс Даллас Ховард']",125 мин,"Через 20 лет после событий в первом фильме, парк динозавров на острове Исла-Нублар полностью функционирует, как и мечтал его создатель Джон Хэммонд."
https://www.kinonews.ru/movie_257799/the-lion-king,Король лев,2019,The Lion King,https://www.kinonews.ru/movie_257799/the-lion-king,6.09,$1 667 635 327,$260 000 000,['США'],"['детский', 'драма', 'мультфильм', 'мюзикл', 'приключения', 'семейный', 'фэнтези']",Джон Фавро,"['Сет Роген', 'Дональд Гловер']",118 мин,"Проект основан на одноименном анимационном фильме ""Король лев"", выпущенным студией Дисней в 1994 году и завоевавшим множество престижных наград."
https://www.kinonews.ru/movie_21145/avengers-assemble,Мстители,2012,Avengers Assemble,https://www.kinonews.ru/movie_21145/avengers-assemble,8.68,$1 518 815 515,$220 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика']",Джосс Уидон,"['Роберт Дауни мл.', 'Крис Эванс']",143 мин,"Для борьбы с ужасным злом известные супергерои, такие как Железный человек, Тор, Халк и многие другие, объединяют свои усилия. Грядет великая битва."
https://www.kinonews.ru/movie_150271/fast-i-furious-7,Форсаж 7,2015,Furious 7,https://www.kinonews.ru/movie_150271/fast-i-furious-7,7.39,$1 515 341 399,$190 000 000,"['США', 'Япония']","['боевик', 'криминал', 'триллер']",Джеймс Ван,"['Вин Дизель', 'Пол Уокер']",137 мин,Дакард Шоу решает отомстить за уничтоженного Домиником и его командой брата Оуэна.
https://www.kinonews.ru/movie_230037/frozen-2,Холодное сердце 2,2019,Frozen 2,https://www.kinonews.ru/movie_230037/frozen-2,6.61,$1 450 026 933,$150 000 000,['США'],"['детский', 'комедия', 'мультфильм', 'приключения', 'семейный']","Крис Бак, Дженнифер Ли","['Кристен Белл', 'Джейсон Риттер']",103 мин,"Продолжение волшебной истории, рассказанной в мультфильме ""Холодное сердце"" (2013), события которой происходят в чудесной стране, населенной прекрасными принцессами, бесстрашными принцами, злыми Королевами и другими забавными персонажами..."
